attendance_id,employee_id,attendance_date,check_in,check_out
1,1549,2024-04-21,2024-04-21 10:00:00,2024-04-21 20:00:00
2,11,2024-02-18,2024-02-18 10:00:00,2024-02-18 18:00:00
3,12,2025-09-17,2025-09-17 10:00:00,2025-09-17 19:00:00
4,1820,2024-10-10,2024-10-10 11:00:00,2024-10-10 20:00:00
5,2202,2025-01-07,2025-01-07 10:00:00,2025-01-07 19:00:00
6,1267,2024-08-08,2024-08-08 08:00:00,2024-08-08 20:00:00
7,2447,2025-08-13,2025-08-13 08:00:00,2025-08-13 17:00:00
8,2581,2025-01-06,2025-01-06 09:00:00,2025-01-06 17:00:00
9,1880,2024-06-29,2024-06-29 10:00:00,2024-06-29 18:00:00
10,1275,2025-07-12,2025-07-12 09:00:00,2025-07-12 20:00:00
11,604,2024-05-27,2024-05-27 08:00:00,2024-05-27 18:00:00
12,2291,2024-05-11,2024-05-11 11:00:00,2024-05-11 19:00:00
13,1959,2025-09-18,2025-09-18 08:00:00,2025-09-18 19:00:00
14,830,2025-05-04,2025-05-04 11:00:00,2025-05-04 20:00:00
15,764,2024-07-28,2024-07-28 11:00:00,2024-07-28 18:00:00
16,1665,2024-01-09,2024-01-09 11:00:00,2024-01-09 18:00:00
17,1503,2024-12-12,2024-12-12 10:00:00,2024-12-12 20:00:00
18,1073,2024-06-21,2024-06-21 09:00:00,2024-06-21 19:00:00
19,223,2025-06-15,2025-06-15 09:00:00,2025-06-15 19:00:00
20,1726,2024-05-11,2024-05-11 10:00:00,2024-05-11 19:00:00
21,770,2025-07-14,2025-07-14 08:00:00,2025-07-14 17:00:00
22,1231,2025-02-02,2025-02-02 08:00:00,2025-02-02 19:00:00
23,2220,2025-08-24,2025-08-24 09:00:00,2025-08-24 20:00:00
24,902,2026-01-01,2026-01-01 10:00:00,2026-01-01 19:00:00
25,2277,2024-07-11,2024-07-11 08:00:00,2024-07-11 18:00:00
26,58,2025-03-15,2025-03-15 09:00:00,2025-03-15 17:00:00
27,290,2024-12-30,2024-12-30 11:00:00,2024-12-30 18:00:00
28,425,2025-02-12,2025-02-12 11:00:00,2025-02-12 19:00:00
29,1179,2025-01-13,2025-01-13 10:00:00,2025-01-13 18:00:00
30,115,2026-01-04,2026-01-04 08:00:00,2026-01-04 18:00:00
31,351,2024-03-11,2024-03-11 10:00:00,2024-03-11 19:00:00
32,2692,2025-06-22,2025-06-22 10:00:00,2025-06-22 19:00:00
33,2667,2025-01-20,2025-01-20 08:00:00,2025-01-20 17:00:00
34,2946,2025-12-10,2025-12-10 11:00:00,2025-12-10 18:00:00
35,561,2025-04-05,2025-04-05 08:00:00,2025-04-05 17:00:00
36,1170,2026-01-31,2026-01-31 10:00:00,2026-01-31 20:00:00
37,2578,2024-09-11,2024-09-11 10:00:00,2024-09-11 20:00:00
38,1479,2025-03-08,2025-03-08 11:00:00,2025-03-08 20:00:00
39,711,2025-05-04,2025-05-04 10:00:00,2025-05-04 19:00:00
40,2677,2024-01-10,2024-01-10 08:00:00,2024-01-10 20:00:00
41,123,2024-02-25,2024-02-25 11:00:00,2024-02-25 18:00:00
42,2900,2024-06-10,2024-06-10 09:00:00,2024-06-10 18:00:00
43,1368,2025-08-22,2025-08-22 10:00:00,2025-08-22 19:00:00
44,2629,2024-03-13,2024-03-13 09:00:00,2024-03-13 20:00:00
45,11,2025-07-14,2025-07-14 09:00:00,2025-07-14 17:00:00
46,1917,2024-12-12,2024-12-12 09:00:00,2024-12-12 19:00:00
47,2650,2024-11-16,2024-11-16 11:00:00,2024-11-16 19:00:00
48,1166,2025-10-04,2025-10-04 08:00:00,2025-10-04 19:00:00
49,1023,2025-04-23,2025-04-23 08:00:00,2025-04-23 17:00:00
50,732,2024-07-28,2024-07-28 11:00:00,2024-07-28 19:00:00
51,1641,2026-01-04,2026-01-04 09:00:00,2026-01-04 19:00:00
52,2594,2025-11-08,2025-11-08 11:00:00,2025-11-08 20:00:00
53,828,2024-09-01,2024-09-01 11:00:00,2024-09-01 19:00:00
54,1298,2025-01-21,2025-01-21 11:00:00,2025-01-21 19:00:00
55,2716,2026-02-05,2026-02-05 09:00:00,2026-02-05 17:00:00
56,2086,2024-09-17,2024-09-17 09:00:00,2024-09-17 19:00:00
57,753,2024-04-12,2024-04-12 11:00:00,2024-04-12 18:00:00
58,1289,2024-07-01,2024-07-01 08:00:00,2024-07-01 18:00:00
59,2193,2025-11-01,2025-11-01 10:00:00,2025-11-01 19:00:00
60,741,2024-07-06,2024-07-06 08:00:00,2024-07-06 19:00:00
61,942,2025-06-26,2025-06-26 11:00:00,2025-06-26 17:00:00
62,415,2025-06-08,2025-06-08 08:00:00,2025-06-08 18:00:00
63,1805,2024-02-22,2024-02-22 08:00:00,2024-02-22 19:00:00
64,1422,2024-02-09,2024-02-09 10:00:00,2024-02-09 19:00:00
65,2773,2025-07-08,2025-07-08 10:00:00,2025-07-08 19:00:00
66,2364,2024-05-27,2024-05-27 08:00:00,2024-05-27 20:00:00
67,1558,2025-05-15,2025-05-15 09:00:00,2025-05-15 20:00:00
68,2825,2024-01-01,2024-01-01 08:00:00,2024-01-01 20:00:00
69,2737,2025-09-29,2025-09-29 11:00:00,2025-09-29 19:00:00
70,744,2025-07-21,2025-07-21 11:00:00,2025-07-21 17:00:00
71,323,2024-12-31,2024-12-31 09:00:00,2024-12-31 18:00:00
72,2345,2024-01-23,2024-01-23 08:00:00,2024-01-23 19:00:00
73,888,2026-01-14,2026-01-14 08:00:00,2026-01-14 17:00:00
74,752,2024-10-11,2024-10-11 10:00:00,2024-10-11 19:00:00
75,785,2025-09-15,2025-09-15 11:00:00,2025-09-15 19:00:00
76,283,2025-01-12,2025-01-12 09:00:00,2025-01-12 18:00:00
77,1389,2025-06-12,2025-06-12 09:00:00,2025-06-12 17:00:00
78,984,2024-10-29,2024-10-29 08:00:00,2024-10-29 18:00:00
79,2452,2024-07-19,2024-07-19 11:00:00,2024-07-19 18:00:00
80,982,2025-09-16,2025-09-16 09:00:00,2025-09-16 19:00:00
81,2276,2024-02-21,2024-02-21 08:00:00,2024-02-21 20:00:00
82,149,2024-03-18,2024-03-18 08:00:00,2024-03-18 18:00:00
83,1618,2025-09-25,2025-09-25 10:00:00,2025-09-25 18:00:00
84,2597,2024-11-03,2024-11-03 10:00:00,2024-11-03 17:00:00
85,890,2025-12-06,2025-12-06 11:00:00,2025-12-06 18:00:00
86,524,2025-06-02,2025-06-02 11:00:00,2025-06-02 20:00:00
87,193,2024-08-15,2024-08-15 10:00:00,2024-08-15 17:00:00
88,1894,2024-06-06,2024-06-06 09:00:00,2024-06-06 19:00:00
89,1115,2025-09-14,2025-09-14 08:00:00,2025-09-14 20:00:00
90,1066,2024-09-23,2024-09-23 08:00:00,2024-09-23 18:00:00
91,2544,2024-10-05,2024-10-05 08:00:00,2024-10-05 19:00:00
92,1000,2024-06-03,2024-06-03 11:00:00,2024-06-03 19:00:00
93,2391,2024-02-01,2024-02-01 09:00:00,2024-02-01 17:00:00
94,544,2026-02-23,2026-02-23 11:00:00,2026-02-23 18:00:00
95,2585,2024-08-15,2024-08-15 11:00:00,2024-08-15 20:00:00
96,44,2024-04-13,2024-04-13 08:00:00,2024-04-13 18:00:00
97,1971,2025-09-26,2025-09-26 08:00:00,2025-09-26 19:00:00
98,1470,2025-04-12,2025-04-12 10:00:00,2025-04-12 20:00:00
99,404,2024-08-22,2024-08-22 08:00:00,2024-08-22 17:00:00
100,2204,2025-11-27,2025-11-27 11:00:00,2025-11-27 19:00:00
101,173,2026-01-30,2026-01-30 09:00:00,2026-01-30 17:00:00
102,2192,2024-01-25,2024-01-25 10:00:00,2024-01-25 19:00:00
103,639,2025-08-24,2025-08-24 11:00:00,2025-08-24 17:00:00
104,1490,2025-07-02,2025-07-02 08:00:00,2025-07-02 17:00:00
105,1990,2026-01-10,2026-01-10 09:00:00,2026-01-10 19:00:00
106,2732,2024-06-26,2024-06-26 11:00:00,2024-06-26 17:00:00
107,2934,2025-09-05,2025-09-05 08:00:00,2025-09-05 20:00:00
108,855,2026-01-24,2026-01-24 11:00:00,2026-01-24 20:00:00
109,1145,2024-03-26,2024-03-26 08:00:00,2024-03-26 17:00:00
110,2421,2024-04-07,2024-04-07 08:00:00,2024-04-07 17:00:00
111,293,2024-07-10,2024-07-10 10:00:00,2024-07-10 17:00:00
112,2526,2024-04-07,2024-04-07 09:00:00,2024-04-07 18:00:00
113,1384,2024-01-24,2024-01-24 10:00:00,2024-01-24 17:00:00
114,586,2025-11-15,2025-11-15 10:00:00,2025-11-15 18:00:00
115,1956,2025-05-05,2025-05-05 11:00:00,2025-05-05 20:00:00
116,891,2025-03-14,2025-03-14 11:00:00,2025-03-14 17:00:00
117,376,2024-12-14,2024-12-14 10:00:00,2024-12-14 20:00:00
118,19,2024-04-17,2024-04-17 11:00:00,2024-04-17 20:00:00
119,1540,2024-11-03,2024-11-03 10:00:00,2024-11-03 18:00:00
120,1566,2025-07-31,2025-07-31 09:00:00,2025-07-31 18:00:00
121,2066,2024-08-18,2024-08-18 10:00:00,2024-08-18 17:00:00
122,920,2025-07-03,2025-07-03 11:00:00,2025-07-03 18:00:00
123,383,2025-01-19,2025-01-19 11:00:00,2025-01-19 18:00:00
124,2471,2025-03-29,2025-03-29 08:00:00,2025-03-29 20:00:00
125,1583,2025-03-11,2025-03-11 08:00:00,2025-03-11 20:00:00
126,2695,2025-07-14,2025-07-14 11:00:00,2025-07-14 17:00:00
127,1936,2024-08-21,2024-08-21 11:00:00,2024-08-21 17:00:00
128,1487,2025-08-15,2025-08-15 10:00:00,2025-08-15 20:00:00
129,1196,2024-01-10,2024-01-10 11:00:00,2024-01-10 19:00:00
130,1616,2024-05-12,2024-05-12 08:00:00,2024-05-12 19:00:00
131,2692,2024-01-31,2024-01-31 10:00:00,2024-01-31 18:00:00
132,2826,2024-06-17,2024-06-17 10:00:00,2024-06-17 19:00:00
133,2857,2025-03-26,2025-03-26 10:00:00,2025-03-26 18:00:00
134,1506,2025-06-08,2025-06-08 10:00:00,2025-06-08 19:00:00
135,138,2025-05-16,2025-05-16 10:00:00,2025-05-16 17:00:00
136,400,2024-08-03,2024-08-03 10:00:00,2024-08-03 18:00:00
137,2447,2025-09-10,2025-09-10 09:00:00,2025-09-10 20:00:00
138,1766,2025-03-25,2025-03-25 08:00:00,2025-03-25 18:00:00
139,1702,2025-09-28,2025-09-28 11:00:00,2025-09-28 19:00:00
140,341,2025-09-07,2025-09-07 08:00:00,2025-09-07 19:00:00
141,1550,2024-11-11,2024-11-11 09:00:00,2024-11-11 17:00:00
142,307,2025-02-18,2025-02-18 11:00:00,2025-02-18 20:00:00
143,1853,2024-05-11,2024-05-11 09:00:00,2024-05-11 17:00:00
144,2166,2025-08-06,2025-08-06 10:00:00,2025-08-06 20:00:00
145,152,2024-09-09,2024-09-09 08:00:00,2024-09-09 18:00:00
146,1470,2025-10-20,2025-10-20 09:00:00,2025-10-20 20:00:00
147,1783,2025-02-02,2025-02-02 09:00:00,2025-02-02 17:00:00
148,307,2024-04-15,2024-04-15 10:00:00,2024-04-15 17:00:00
149,1430,2025-04-12,2025-04-12 10:00:00,2025-04-12 20:00:00
150,2842,2026-01-15,2026-01-15 11:00:00,2026-01-15 20:00:00
151,2734,2025-10-06,2025-10-06 09:00:00,2025-10-06 19:00:00
152,2439,2025-07-08,2025-07-08 08:00:00,2025-07-08 18:00:00
153,1144,2024-07-18,2024-07-18 11:00:00,2024-07-18 20:00:00
154,1988,2026-02-09,2026-02-09 10:00:00,2026-02-09 20:00:00
155,569,2024-12-14,2024-12-14 08:00:00,2024-12-14 18:00:00
156,695,2024-08-31,2024-08-31 09:00:00,2024-08-31 17:00:00
157,1522,2024-07-03,2024-07-03 11:00:00,2024-07-03 19:00:00
158,341,2025-07-25,2025-07-25 09:00:00,2025-07-25 18:00:00
159,1263,2024-05-02,2024-05-02 08:00:00,2024-05-02 17:00:00
160,2015,2024-01-26,2024-01-26 09:00:00,2024-01-26 18:00:00
161,2854,2025-06-18,2025-06-18 11:00:00,2025-06-18 18:00:00
162,1295,2024-04-09,2024-04-09 08:00:00,2024-04-09 19:00:00
163,529,2024-03-05,2024-03-05 10:00:00,2024-03-05 20:00:00
164,42,2025-08-17,2025-08-17 09:00:00,2025-08-17 20:00:00
165,2922,2026-01-13,2026-01-13 10:00:00,2026-01-13 19:00:00
166,2646,2025-01-23,2025-01-23 11:00:00,2025-01-23 17:00:00
167,181,2025-11-15,2025-11-15 08:00:00,2025-11-15 19:00:00
168,2412,2024-08-01,2024-08-01 09:00:00,2024-08-01 18:00:00
169,2607,2025-06-13,2025-06-13 08:00:00,2025-06-13 18:00:00
170,2972,2024-11-12,2024-11-12 10:00:00,2024-11-12 20:00:00
171,2301,2024-07-01,2024-07-01 08:00:00,2024-07-01 20:00:00
172,1726,2025-04-13,2025-04-13 10:00:00,2025-04-13 20:00:00
173,1108,2024-08-21,2024-08-21 10:00:00,2024-08-21 20:00:00
174,1481,2026-01-15,2026-01-15 10:00:00,2026-01-15 18:00:00
175,1034,2025-10-03,2025-10-03 11:00:00,2025-10-03 18:00:00
176,2782,2025-04-13,2025-04-13 10:00:00,2025-04-13 17:00:00
177,1708,2025-09-21,2025-09-21 10:00:00,2025-09-21 17:00:00
178,2129,2025-08-06,2025-08-06 10:00:00,2025-08-06 19:00:00
179,1727,2025-05-31,2025-05-31 09:00:00,2025-05-31 20:00:00
180,1990,2025-08-10,2025-08-10 08:00:00,2025-08-10 20:00:00
181,2292,2024-02-22,2024-02-22 10:00:00,2024-02-22 19:00:00
182,1201,2025-03-17,2025-03-17 10:00:00,2025-03-17 20:00:00
183,1832,2024-11-28,2024-11-28 09:00:00,2024-11-28 18:00:00
184,2215,2024-11-24,2024-11-24 08:00:00,2024-11-24 18:00:00
185,2895,2025-10-17,2025-10-17 10:00:00,2025-10-17 19:00:00
186,401,2024-10-26,2024-10-26 11:00:00,2024-10-26 17:00:00
187,639,2024-01-29,2024-01-29 11:00:00,2024-01-29 19:00:00
