order_item_id,order_id,prod_id,quantity,unit_price,gross_amount,discount_amount,net_amount
1,1,5159,2,11016.61,22033.22,0.0,22033.22
2,2,5611,2,33554.5,67109.0,0.0,67109.0
3,2,5480,3,4379.48,13138.44,0.0,13138.44
4,2,275,3,72403.34,217210.02,0.0,217210.02
5,2,2874,1,3314.54,3314.54,0.0,3314.54
6,3,3362,3,1438.12,4314.36,0.0,4314.36
7,4,383,2,106225.43,212450.86,0.0,212450.86
8,4,1284,3,8276.12,24828.36,0.0,24828.36
9,5,823,1,7820.76,7820.76,0.0,7820.76
10,5,1907,2,17483.99,34967.98,0.0,34967.98
11,5,4800,1,1047.49,1047.49,209.5,837.99
12,6,2011,1,3882.28,3882.28,0.0,3882.28
13,7,3343,3,282.52,847.56,0.0,847.56
14,8,196,2,1727.53,3455.06,0.0,3455.06
15,9,4602,3,5357.45,16072.35,0.0,16072.35
16,9,2298,3,17139.47,51418.41,0.0,51418.41
17,10,5504,3,7415.28,22245.84,0.0,22245.84
18,10,1407,3,4252.41,12757.23,0.0,12757.23
19,10,1033,2,1672.1,3344.2,0.0,3344.2
20,10,3992,3,3220.0,9660.0,0.0,9660.0
21,11,3580,1,1622.49,1622.49,0.0,1622.49
22,12,80,3,124275.35,372826.05,0.0,372826.05
23,12,1736,2,38367.98,76735.96,0.0,76735.96
24,13,3611,2,1731.05,3462.1,0.0,3462.1
25,13,788,1,74738.08,74738.08,0.0,74738.08
26,13,4896,1,663.32,663.32,0.0,663.32
27,13,2750,1,4116.14,4116.14,0.0,4116.14
28,14,57,1,136597.01,136597.01,0.0,136597.01
29,14,4673,2,8365.24,16730.48,3346.1,13384.38
30,14,1246,2,7695.1,15390.2,0.0,15390.2
31,15,1844,1,27848.01,27848.01,0.0,27848.01
32,15,538,1,41113.87,41113.87,0.0,41113.87
33,15,4788,3,941.63,2824.89,0.0,2824.89
34,15,445,1,82028.55,82028.55,0.0,82028.55
35,16,4424,2,705.98,1411.96,0.0,1411.96
36,17,4920,3,1788.87,5366.61,0.0,5366.61
37,18,2635,1,3843.72,3843.72,0.0,3843.72
38,19,1303,2,2316.07,4632.14,0.0,4632.14
39,19,2616,1,1196.57,1196.57,59.83,1136.74
40,19,1241,2,2981.13,5962.26,0.0,5962.26
41,19,3844,3,10033.98,30101.94,0.0,30101.94
42,20,2923,3,3929.76,11789.28,0.0,11789.28
43,20,4241,2,666.21,1332.42,0.0,1332.42
44,20,3007,3,558.89,1676.67,0.0,1676.67
45,20,5849,1,14002.87,14002.87,0.0,14002.87
46,21,2263,2,29871.41,59742.82,17922.85,41819.97
47,21,877,2,7123.24,14246.48,0.0,14246.48
48,21,1169,2,5781.32,11562.64,0.0,11562.64
49,22,3606,3,1593.34,4780.02,0.0,4780.02
50,23,197,1,140380.35,140380.35,0.0,140380.35
51,24,2893,2,4317.11,8634.22,0.0,8634.22
52,24,2768,2,152.95,305.9,0.0,305.9
53,24,1209,3,4569.8,13709.4,1370.94,12338.46
54,25,1180,3,862.1,2586.3,0.0,2586.3
55,25,4031,2,5935.91,11871.82,0.0,11871.82
56,25,3618,3,344.92,1034.76,0.0,1034.76
57,25,5337,2,11511.58,23023.16,0.0,23023.16
58,26,3566,1,414.71,414.71,0.0,414.71
59,26,4648,2,3845.67,7691.34,0.0,7691.34
60,27,2630,3,2523.67,7571.01,0.0,7571.01
61,27,1038,3,924.78,2774.34,554.87,2219.47
62,27,865,2,7026.31,14052.62,0.0,14052.62
63,27,953,3,9326.46,27979.38,0.0,27979.38
64,28,581,3,114510.57,343531.71,0.0,343531.71
65,28,362,2,38905.21,77810.42,15562.08,62248.34
66,29,5698,2,25189.11,50378.22,0.0,50378.22
67,29,4200,3,1256.3,3768.9,0.0,3768.9
68,30,4932,2,1440.41,2880.82,0.0,2880.82
69,30,2025,1,3373.47,3373.47,337.35,3036.12
70,30,2607,2,4221.65,8443.3,0.0,8443.3
71,30,3021,3,133.88,401.64,0.0,401.64
72,31,5372,2,2347.2,4694.4,0.0,4694.4
73,31,1372,3,4737.61,14212.83,0.0,14212.83
74,31,507,2,97382.75,194765.5,0.0,194765.5
75,32,1858,3,4051.11,12153.33,0.0,12153.33
76,33,2198,3,13913.23,41739.69,0.0,41739.69
77,33,3154,1,846.02,846.02,0.0,846.02
78,33,4767,3,1889.84,5669.52,0.0,5669.52
79,34,1636,2,5331.89,10663.78,0.0,10663.78
80,35,5416,1,14040.33,14040.33,0.0,14040.33
81,35,5331,3,753.23,2259.69,0.0,2259.69
82,35,1430,3,8540.51,25621.53,0.0,25621.53
83,36,118,1,26108.51,26108.51,1305.43,24803.08
84,36,4072,1,14965.42,14965.42,0.0,14965.42
85,36,5972,3,23552.76,70658.28,0.0,70658.28
86,37,344,1,108840.65,108840.65,0.0,108840.65
87,37,503,1,88790.32,88790.32,0.0,88790.32
88,37,4720,2,8008.54,16017.08,0.0,16017.08
89,38,525,1,89695.01,89695.01,0.0,89695.01
90,39,2028,1,29820.84,29820.84,0.0,29820.84
91,39,929,2,9466.05,18932.1,2839.81,16092.29
92,39,247,1,9169.66,9169.66,0.0,9169.66
93,40,5161,1,6066.08,6066.08,0.0,6066.08
94,40,5133,2,889.35,1778.7,0.0,1778.7
95,41,77,2,126053.82,252107.64,25210.76,226896.88
96,41,2879,2,3301.41,6602.82,0.0,6602.82
97,41,5557,3,5025.42,15076.26,0.0,15076.26
98,41,475,3,2396.75,7190.25,0.0,7190.25
99,42,2765,2,3388.32,6776.64,0.0,6776.64
100,42,3574,3,1789.85,5369.55,0.0,5369.55
101,42,127,3,77381.09,232143.27,58035.82,174107.45
102,43,5654,2,27556.55,55113.1,0.0,55113.1
103,44,3647,2,1421.55,2843.1,0.0,2843.1
104,45,3179,3,689.01,2067.03,0.0,2067.03
105,45,2629,3,1850.37,5551.11,0.0,5551.11
106,46,2113,3,11392.96,34178.88,0.0,34178.88
107,47,3438,2,573.65,1147.3,0.0,1147.3
108,47,3582,1,160.81,160.81,0.0,160.81
109,48,4227,3,7087.17,21261.51,0.0,21261.51
110,48,4886,3,844.8,2534.4,0.0,2534.4
111,48,2621,2,3547.93,7095.86,0.0,7095.86
112,48,1793,3,13705.73,41117.19,0.0,41117.19
113,49,1061,2,1587.73,3175.46,0.0,3175.46
114,49,5070,3,874.15,2622.45,0.0,2622.45
115,50,680,1,89649.47,89649.47,22412.37,67237.1
116,50,4831,2,83.05,166.1,0.0,166.1
117,50,2748,1,1491.29,1491.29,0.0,1491.29
118,50,4902,1,208.07,208.07,62.42,145.65
119,51,485,1,106915.86,106915.86,10691.59,96224.27
120,51,3357,3,1401.07,4203.21,1260.96,2942.25
121,51,4634,2,8256.81,16513.62,4128.4,12385.22
122,51,1378,1,381.48,381.48,0.0,381.48
123,52,3262,3,1021.5,3064.5,0.0,3064.5
124,52,4256,1,2236.36,2236.36,0.0,2236.36
125,53,2196,3,23323.39,69970.17,0.0,69970.17
126,53,2437,1,3560.82,3560.82,0.0,3560.82
127,53,1005,3,6771.45,20314.35,0.0,20314.35
128,54,2184,2,19326.64,38653.28,0.0,38653.28
129,54,4581,1,7864.02,7864.02,0.0,7864.02
130,54,3082,3,1522.9,4568.7,1370.61,3198.09
131,54,281,2,92327.76,184655.52,0.0,184655.52
132,55,424,3,1442.9,4328.7,649.3,3679.4
133,55,1607,1,2216.68,2216.68,443.34,1773.34
134,55,4932,3,1440.41,4321.23,0.0,4321.23
135,56,2209,1,28635.03,28635.03,4295.25,24339.78
136,56,3538,1,1661.69,1661.69,0.0,1661.69
137,56,4121,2,11694.33,23388.66,0.0,23388.66
138,56,1996,2,4098.92,8197.84,0.0,8197.84
139,57,3490,1,1138.6,1138.6,0.0,1138.6
140,57,4454,3,952.88,2858.64,0.0,2858.64
141,58,2965,2,2492.06,4984.12,0.0,4984.12
142,58,3177,2,1613.12,3226.24,0.0,3226.24
143,58,1575,3,868.13,2604.39,0.0,2604.39
144,59,2470,1,2925.98,2925.98,585.2,2340.78
145,59,2069,2,37336.3,74672.6,0.0,74672.6
146,60,1382,1,5918.21,5918.21,1775.46,4142.75
147,60,3693,1,1603.74,1603.74,0.0,1603.74
148,60,3322,1,735.55,735.55,0.0,735.55
149,61,3393,3,1168.73,3506.19,0.0,3506.19
150,61,1206,3,4271.19,12813.57,0.0,12813.57
151,62,4088,2,7251.67,14503.34,0.0,14503.34
152,62,5103,2,1711.9,3423.8,0.0,3423.8
153,63,2086,1,24730.14,24730.14,7419.04,17311.1
154,63,4041,3,11861.35,35584.05,0.0,35584.05
155,64,1453,1,7403.41,7403.41,0.0,7403.41
156,64,1135,2,3489.8,6979.6,0.0,6979.6
157,65,4465,3,8036.79,24110.37,4822.07,19288.3
158,66,2475,3,4868.55,14605.65,0.0,14605.65
159,67,302,3,106067.63,318202.89,15910.14,302292.75
160,67,3906,3,459.67,1379.01,0.0,1379.01
161,67,1658,2,4738.89,9477.78,0.0,9477.78
162,67,4110,2,10221.43,20442.86,0.0,20442.86
163,68,2923,1,3929.76,3929.76,0.0,3929.76
164,69,2761,1,1731.36,1731.36,0.0,1731.36
165,70,3300,1,1739.2,1739.2,0.0,1739.2
166,70,2308,3,18531.16,55593.48,0.0,55593.48
167,70,5386,2,5907.85,11815.7,0.0,11815.7
168,71,3048,1,1245.41,1245.41,373.62,871.79
169,71,4455,3,6248.21,18744.63,0.0,18744.63
170,71,5121,3,1057.88,3173.64,0.0,3173.64
171,71,726,2,10702.76,21405.52,0.0,21405.52
172,72,2215,2,7376.77,14753.54,0.0,14753.54
173,73,4733,1,765.99,765.99,0.0,765.99
174,73,4406,1,2344.75,2344.75,703.42,1641.33
175,73,5537,3,11683.93,35051.79,0.0,35051.79
176,73,191,1,62034.82,62034.82,18610.45,43424.37
177,74,5777,2,19385.13,38770.26,0.0,38770.26
178,75,4005,2,3363.76,6727.52,2018.26,4709.26
179,75,531,1,59496.56,59496.56,0.0,59496.56
180,75,1405,1,3202.51,3202.51,0.0,3202.51
181,76,1700,2,769.39,1538.78,0.0,1538.78
182,76,2034,2,27153.82,54307.64,0.0,54307.64
183,76,427,2,36060.79,72121.58,0.0,72121.58
184,76,1263,2,331.35,662.7,0.0,662.7
185,77,2226,2,21712.54,43425.08,0.0,43425.08
186,77,4495,3,7988.87,23966.61,0.0,23966.61
187,78,2739,3,4263.01,12789.03,3836.71,8952.32
188,79,3724,1,10242.43,10242.43,0.0,10242.43
189,79,751,1,84249.74,84249.74,8424.97,75824.77
190,80,919,1,6119.72,6119.72,0.0,6119.72
191,80,1394,2,7102.03,14204.06,0.0,14204.06
192,80,2016,2,28521.7,57043.4,0.0,57043.4
193,81,2155,2,36297.09,72594.18,18148.54,54445.64
194,81,3839,1,11093.13,11093.13,1109.31,9983.82
195,82,2929,2,1481.39,2962.78,0.0,2962.78
196,83,4990,1,1327.53,1327.53,0.0,1327.53
197,83,320,1,94978.71,94978.71,0.0,94978.71
198,83,3664,3,1958.71,5876.13,0.0,5876.13
199,83,2566,2,1983.75,3967.5,0.0,3967.5
200,84,3189,3,583.92,1751.76,525.53,1226.23
201,84,2175,1,27443.76,27443.76,0.0,27443.76
202,84,277,3,125431.02,376293.06,0.0,376293.06
203,85,3530,3,506.05,1518.15,0.0,1518.15
204,86,2264,3,13051.38,39154.14,1957.71,37196.43
205,86,1744,1,26653.94,26653.94,0.0,26653.94
206,86,1897,1,33018.94,33018.94,8254.74,24764.2
207,86,2417,3,774.76,2324.28,0.0,2324.28
208,87,727,1,143302.37,143302.37,0.0,143302.37
209,88,1512,2,1970.75,3941.5,0.0,3941.5
210,88,1100,2,3709.89,7419.78,0.0,7419.78
211,88,3514,3,1921.28,5763.84,864.58,4899.26
212,89,1599,2,7761.6,15523.2,3880.8,11642.4
213,90,5121,1,1057.88,1057.88,0.0,1057.88
214,90,2140,2,39191.45,78382.9,0.0,78382.9
215,90,413,3,128512.33,385536.99,0.0,385536.99
216,90,5090,1,772.91,772.91,0.0,772.91
217,91,4455,1,6248.21,6248.21,0.0,6248.21
218,92,2983,2,2404.89,4809.78,0.0,4809.78
219,92,5152,1,5869.18,5869.18,0.0,5869.18
220,93,4575,3,4142.22,12426.66,2485.33,9941.33
221,94,2166,1,5411.37,5411.37,0.0,5411.37
222,94,5866,3,35612.68,106838.04,0.0,106838.04
223,94,3379,2,1504.83,3009.66,0.0,3009.66
224,95,848,1,2870.71,2870.71,0.0,2870.71
225,96,942,3,2419.83,7259.49,0.0,7259.49
226,96,1313,2,8281.28,16562.56,0.0,16562.56
227,96,3591,3,1029.95,3089.85,617.97,2471.88
228,97,4751,1,1936.65,1936.65,0.0,1936.65
229,97,2281,1,34512.72,34512.72,0.0,34512.72
230,97,868,3,5231.89,15695.67,0.0,15695.67
231,98,3426,2,232.91,465.82,0.0,465.82
232,99,4630,3,5854.87,17564.61,0.0,17564.61
233,100,226,3,132486.44,397459.32,0.0,397459.32
234,101,936,2,2260.68,4521.36,0.0,4521.36
235,102,3900,2,1493.38,2986.76,597.35,2389.41
236,102,1638,1,5328.02,5328.02,0.0,5328.02
237,103,1662,3,2649.66,7948.98,1589.8,6359.18
238,103,2595,3,2512.75,7538.25,0.0,7538.25
239,103,3923,2,14386.82,28773.64,0.0,28773.64
240,104,638,1,132710.11,132710.11,39813.03,92897.08
241,104,368,3,74670.94,224012.82,0.0,224012.82
242,104,4887,3,1052.59,3157.77,0.0,3157.77
243,104,1825,1,18105.17,18105.17,0.0,18105.17
244,105,4921,3,1986.59,5959.77,0.0,5959.77
245,105,5873,1,32148.69,32148.69,1607.43,30541.26
246,106,5176,2,11034.75,22069.5,0.0,22069.5
247,106,4009,2,6356.86,12713.72,0.0,12713.72
248,107,3323,1,1249.82,1249.82,0.0,1249.82
249,108,3298,3,1633.98,4901.94,1470.58,3431.36
250,108,2938,2,331.5,663.0,198.9,464.1
251,108,1612,2,7140.91,14281.82,0.0,14281.82
252,109,290,1,20460.1,20460.1,0.0,20460.1
253,109,1799,3,32988.08,98964.24,0.0,98964.24
254,110,2422,3,1433.37,4300.11,1290.03,3010.08
255,110,2007,1,25653.82,25653.82,0.0,25653.82
256,111,566,3,95337.25,286011.75,0.0,286011.75
257,111,709,1,76045.17,76045.17,0.0,76045.17
258,111,524,3,124664.46,373993.38,0.0,373993.38
259,112,1599,2,7761.6,15523.2,0.0,15523.2
260,112,413,1,128512.33,128512.33,0.0,128512.33
261,113,311,3,121155.62,363466.86,0.0,363466.86
262,113,2665,3,3311.83,9935.49,0.0,9935.49
263,113,2438,2,1785.63,3571.26,0.0,3571.26
264,113,2035,1,29065.77,29065.77,4359.87,24705.9
265,114,4240,3,14229.16,42687.48,0.0,42687.48
266,114,4751,2,1936.65,3873.3,1161.99,2711.31
267,114,5745,3,46283.13,138849.39,0.0,138849.39
268,114,2969,3,4908.29,14724.87,0.0,14724.87
269,115,2598,1,4056.16,4056.16,1216.85,2839.31
270,115,5664,3,2064.03,6192.09,0.0,6192.09
271,116,3175,1,1279.99,1279.99,0.0,1279.99
272,116,2293,1,21670.42,21670.42,0.0,21670.42
273,117,5400,1,3834.93,3834.93,0.0,3834.93
274,118,3191,2,1905.22,3810.44,952.61,2857.83
275,118,1803,3,39552.2,118656.6,0.0,118656.6
276,119,1543,2,6597.78,13195.56,0.0,13195.56
277,119,92,2,22667.7,45335.4,0.0,45335.4
278,120,1963,1,18382.93,18382.93,0.0,18382.93
279,120,3619,2,1481.87,2963.74,296.37,2667.37
280,120,5128,1,1565.77,1565.77,0.0,1565.77
281,121,4527,2,8811.32,17622.64,0.0,17622.64
282,122,3208,2,1020.63,2041.26,0.0,2041.26
283,123,2240,3,31680.63,95041.89,14256.28,80785.61
284,123,1958,1,19800.0,19800.0,1980.0,17820.0
285,123,4732,1,1248.32,1248.32,187.25,1061.07
286,124,4623,3,317.69,953.07,0.0,953.07
287,125,2491,1,3494.78,3494.78,0.0,3494.78
288,125,3518,2,1977.65,3955.3,0.0,3955.3
289,126,989,3,2529.53,7588.59,0.0,7588.59
290,126,383,2,106225.43,212450.86,0.0,212450.86
291,126,3390,3,1482.29,4446.87,0.0,4446.87
292,126,1038,2,924.78,1849.56,0.0,1849.56
293,127,4785,2,184.15,368.3,0.0,368.3
294,128,2412,1,2387.45,2387.45,0.0,2387.45
295,128,1176,2,9629.49,19258.98,0.0,19258.98
296,129,3458,1,534.4,534.4,0.0,534.4
297,129,1190,2,3116.07,6232.14,0.0,6232.14
298,129,3905,1,13226.05,13226.05,0.0,13226.05
299,129,5996,2,33817.69,67635.38,0.0,67635.38
300,130,1151,2,3402.87,6805.74,0.0,6805.74
301,130,5966,1,36568.18,36568.18,0.0,36568.18
302,131,254,1,60765.08,60765.08,0.0,60765.08
303,132,3695,2,5935.34,11870.68,0.0,11870.68
304,132,1495,1,7105.43,7105.43,0.0,7105.43
305,132,513,1,127006.54,127006.54,0.0,127006.54
306,133,1963,3,18382.93,55148.79,11029.76,44119.03
307,133,3850,1,601.99,601.99,0.0,601.99
308,133,374,2,94491.32,188982.64,0.0,188982.64
309,133,164,3,87121.77,261365.31,0.0,261365.31
310,134,1455,1,4123.04,4123.04,618.46,3504.58
311,134,1669,3,2413.72,7241.16,0.0,7241.16
312,135,3056,3,1411.97,4235.91,423.59,3812.32
313,136,1151,3,3402.87,10208.61,0.0,10208.61
314,136,21,3,5067.93,15203.79,2280.57,12923.22
315,136,1146,3,7212.7,21638.1,2163.81,19474.29
316,137,271,3,77169.46,231508.38,0.0,231508.38
317,137,3078,1,859.76,859.76,0.0,859.76
318,137,4536,2,2252.52,4505.04,0.0,4505.04
319,138,5901,2,42605.78,85211.56,25563.47,59648.09
320,138,4089,1,10832.8,10832.8,0.0,10832.8
321,139,1425,1,1354.66,1354.66,270.93,1083.73
322,140,4630,1,5854.87,5854.87,0.0,5854.87
323,140,5859,1,39495.13,39495.13,0.0,39495.13
324,140,310,3,58483.34,175450.02,0.0,175450.02
325,140,2041,1,8923.79,8923.79,0.0,8923.79
326,141,4842,1,1225.3,1225.3,183.8,1041.5
327,141,209,3,139603.4,418810.2,0.0,418810.2
328,142,443,1,127899.28,127899.28,0.0,127899.28
329,143,2872,1,1243.59,1243.59,0.0,1243.59
330,144,3289,2,480.06,960.12,48.01,912.11
331,144,3251,1,51.03,51.03,0.0,51.03
332,144,1616,2,7861.73,15723.46,0.0,15723.46
333,145,5014,1,1749.84,1749.84,0.0,1749.84
334,146,2136,2,29112.65,58225.3,0.0,58225.3
