order_id,cust_id,store_id,order_date,order_status,gross_total,discount_amount,net_total
1,10770,133,2024-05-02,Out for Delivery,22033.22,0.0,22033.22
2,11061,169,2024-09-22,Failed,300772.0,0.0,300772.0
3,3958,116,2025-11-24,Delivered,4314.36,0.0,4314.36
4,27898,61,2026-02-20,Delivered,237279.22,0.0,237279.22
5,33879,178,2024-12-08,Delivered,43836.23,209.5,43626.73
6,20084,14,2024-11-02,Processing,3882.28,0.0,3882.28
7,42553,166,2025-07-25,Returned,847.56,0.0,847.56
8,37055,42,2025-07-28,Delivered,3455.06,0.0,3455.06
9,13976,36,2024-06-05,Returned,67490.76,0.0,67490.76
10,22261,34,2024-02-26,Delivered,48007.27,0.0,48007.27
11,42410,19,2025-07-04,Delivered,1622.49,0.0,1622.49
12,48872,39,2025-09-07,Out for Delivery,449562.01,0.0,449562.01
13,28199,200,2024-12-04,Delivered,82979.64,0.0,82979.64
14,4905,42,2024-08-24,Failed,168717.69,3346.1,165371.59
15,24140,36,2025-04-29,Out for Delivery,153815.32,0.0,153815.32
16,40080,114,2024-02-17,Delivered,1411.96,0.0,1411.96
17,1505,95,2024-11-27,Processing,5366.61,0.0,5366.61
18,49598,5,2025-02-07,Delivered,3843.72,0.0,3843.72
19,20766,146,2025-02-28,Delivered,41892.91,59.83,41833.08
20,36851,104,2026-02-02,Delivered,28801.24,0.0,28801.24
21,28461,27,2025-07-25,Delivered,85551.94,17922.85,67629.09
22,4826,107,2026-02-14,Delivered,4780.02,0.0,4780.02
23,44081,70,2025-03-04,Cancelled,140380.35,0.0,140380.35
24,16124,92,2024-08-03,Delivered,22649.52,1370.94,21278.58
25,12065,21,2025-02-11,Delivered,38516.04,0.0,38516.04
26,19561,178,2025-03-24,Delivered,8106.05,0.0,8106.05
27,6435,41,2024-06-05,Delivered,52377.35,554.87,51822.48
28,6469,165,2025-03-27,Delivered,421342.13,15562.08,405780.05
29,9222,55,2025-05-12,Shipped,54147.12,0.0,54147.12
30,2072,176,2024-06-29,Processing,15099.23,337.35,14761.88
31,3365,82,2025-12-19,Delivered,213672.73,0.0,213672.73
32,37437,14,2024-07-17,Shipped,12153.33,0.0,12153.33
33,253,187,2024-01-05,Delivered,48255.23,0.0,48255.23
34,49939,182,2024-05-18,Delivered,10663.78,0.0,10663.78
35,2313,62,2025-08-21,Shipped,41921.55,0.0,41921.55
36,9009,28,2024-12-12,Delivered,111732.21,1305.43,110426.78
37,40984,39,2026-02-04,Failed,213648.05,0.0,213648.05
38,37050,26,2024-04-23,Delivered,89695.01,0.0,89695.01
39,31713,134,2026-01-25,Delivered,57922.6,2839.81,55082.79
40,31378,122,2025-09-02,Processing,7844.78,0.0,7844.78
41,12184,158,2024-02-05,Shipped,280976.97,25210.76,255766.21
42,27335,142,2026-02-09,Delivered,244289.46,58035.82,186253.64
43,37730,53,2025-01-14,Delivered,55113.1,0.0,55113.1
44,46428,82,2024-08-20,Delivered,2843.1,0.0,2843.1
45,32843,186,2025-03-10,Shipped,7618.14,0.0,7618.14
46,3659,136,2025-05-09,Delivered,34178.88,0.0,34178.88
47,30667,59,2024-10-21,Delivered,1308.11,0.0,1308.11
48,31046,103,2025-11-20,Delivered,72008.96,0.0,72008.96
49,18723,141,2024-03-05,Cancelled,5797.91,0.0,5797.91
50,14650,176,2025-11-20,Cancelled,91514.93,22474.79,69040.14
51,28266,98,2024-10-15,Delivered,128014.17,16080.95,111933.22
52,48769,169,2024-03-13,Processing,5300.86,0.0,5300.86
53,12480,194,2025-03-09,Shipped,93845.34,0.0,93845.34
54,41922,9,2025-04-22,Delivered,235741.52,1370.61,234370.91
55,39457,120,2025-05-25,Delivered,10866.61,1092.64,9773.97
56,9858,95,2024-03-21,Shipped,61883.22,4295.25,57587.97
57,219,192,2024-11-06,Delivered,3997.24,0.0,3997.24
58,6470,187,2024-01-08,Delivered,10814.75,0.0,10814.75
59,46316,26,2025-05-25,Delivered,77598.58,585.2,77013.38
60,47321,51,2026-02-06,Returned,8257.5,1775.46,6482.04
61,1411,162,2025-10-05,Out for Delivery,16319.76,0.0,16319.76
62,21624,150,2024-11-24,Delivered,17927.14,0.0,17927.14
63,10398,52,2025-01-12,Delivered,60314.19,7419.04,52895.15
64,14620,13,2025-04-30,Shipped,14383.01,0.0,14383.01
65,46590,159,2025-09-20,Delivered,24110.37,4822.07,19288.3
66,36212,138,2025-12-21,Delivered,14605.65,0.0,14605.65
67,500,9,2024-07-06,Returned,349502.54,15910.14,333592.4
68,8674,24,2025-08-19,Delivered,3929.76,0.0,3929.76
69,38628,112,2024-09-06,Delivered,1731.36,0.0,1731.36
70,10695,38,2026-02-21,Delivered,69148.38,0.0,69148.38
71,14339,116,2025-02-07,Delivered,44569.2,373.62,44195.58
72,14749,6,2024-10-25,Delivered,14753.54,0.0,14753.54
73,43610,79,2025-04-29,Delivered,100197.35,19313.87,80883.48
74,48052,96,2025-10-24,Out for Delivery,38770.26,0.0,38770.26
75,23716,50,2025-01-26,Cancelled,69426.59,2018.26,67408.33
76,8174,53,2024-09-04,Cancelled,128630.7,0.0,128630.7
