payment_id,order_id,payment_date,payment_mode,amount
1,1,2024-05-02,EMI,22033.22
2,3,2025-11-24,Gift Card,4314.36
3,4,2026-02-20,EMI,237279.22
4,6,2024-11-02,Gift Card,3882.28
5,7,2025-07-25,Debit Card,847.56
6,8,2025-07-28,UPI,3455.06
7,9,2024-06-05,Cash,67490.76
8,10,2024-02-26,Buy Now Pay Later,48007.27
9,11,2025-07-04,Debit Card,1622.49
10,12,2025-09-07,Buy Now Pay Later,449562.01
11,13,2024-12-04,EMI,82979.64
12,14,2024-08-24,Wallet,165371.59
13,15,2025-04-29,Cash,153815.32
14,16,2024-02-17,Net Banking,1411.96
15,17,2024-11-27,EMI,5366.61
16,18,2025-02-07,Gift Card,3843.72
17,19,2025-02-28,UPI,41833.08
18,20,2026-02-02,UPI,28801.24
19,21,2025-07-25,EMI,67629.09
20,22,2026-02-14,Credit Card,4780.02
21,24,2024-08-03,EMI,21278.58
22,25,2025-02-11,Gift Card,38516.04
23,26,2025-03-24,EMI,8106.05
24,27,2024-06-05,UPI,51822.48
25,28,2025-03-27,UPI,405780.05
26,29,2025-05-12,Cash,54147.12
27,32,2024-07-17,Wallet,12153.33
28,33,2024-01-05,Debit Card,48255.23
29,34,2024-05-18,Wallet,10663.78
30,35,2025-08-21,Net Banking,41921.55
31,36,2024-12-12,Cash,110426.78
32,37,2026-02-04,Wallet,213648.05
33,38,2024-04-23,Net Banking,89695.01
34,39,2026-01-25,Net Banking,55082.79
35,40,2025-09-02,UPI,7844.78
36,41,2024-02-05,Credit Card,255766.21
37,42,2026-02-09,Cash,186253.64
38,43,2025-01-14,Net Banking,55113.1
39,44,2024-08-20,EMI,2843.1
40,45,2025-03-10,Net Banking,7618.14
41,46,2025-05-09,Credit Card,34178.88
42,47,2024-10-21,Debit Card,1308.11
43,48,2025-11-20,Credit Card,72008.96
44,49,2024-03-05,Wallet,5797.91
45,50,2025-11-20,Debit Card,69040.14
46,51,2024-10-15,Buy Now Pay Later,111933.22
47,52,2024-03-13,Cash,5300.86
48,53,2025-03-09,Credit Card,93845.34
49,54,2025-04-22,Cash,234370.91
50,55,2025-05-25,Wallet,9773.97
51,56,2024-03-21,UPI,57587.97
52,57,2024-11-06,Debit Card,3997.24
53,58,2024-01-08,Wallet,10814.75
54,59,2025-05-25,Buy Now Pay Later,77013.38
55,60,2026-02-06,EMI,6482.04
56,61,2025-10-05,Debit Card,16319.76
57,62,2024-11-24,Credit Card,17927.14
58,63,2025-01-12,Cash,52895.15
59,65,2025-09-20,Wallet,19288.3
60,66,2025-12-21,Buy Now Pay Later,14605.65
61,67,2024-07-06,Cash,333592.4
62,68,2025-08-19,EMI,3929.76
63,69,2024-09-06,Debit Card,1731.36
64,70,2026-02-21,EMI,69148.38
65,71,2025-02-07,Debit Card,44195.58
66,72,2024-10-25,Debit Card,14753.54
67,73,2025-04-29,UPI,80883.48
68,74,2025-10-24,Credit Card,38770.26
69,75,2025-01-26,Buy Now Pay Later,67408.33
70,76,2024-09-04,Net Banking,128630.7
71,77,2025-03-23,Cash,67391.69
72,78,2025-12-10,Debit Card,8952.32
73,79,2024-04-05,UPI,86067.2
74,80,2025-10-28,Net Banking,77367.18
75,81,2024-09-23,Net Banking,64429.46
76,82,2024-02-19,Wallet,2962.78
77,83,2025-11-27,Credit Card,106149.87
78,84,2024-09-27,Debit Card,404963.05
79,85,2026-02-22,Buy Now Pay Later,1518.15
80,86,2024-01-27,Buy Now Pay Later,90938.85
81,87,2025-12-02,UPI,143302.37
82,88,2024-07-29,Gift Card,16260.54
83,90,2024-10-11,Buy Now Pay Later,465750.68
84,91,2025-07-08,Debit Card,6248.21
85,92,2024-12-26,Wallet,10678.96
86,93,2024-01-20,Gift Card,9941.33
87,94,2025-02-15,Gift Card,115259.07
88,95,2024-06-03,Wallet,2870.71
89,96,2025-01-04,EMI,26293.93
90,97,2025-07-17,Credit Card,52145.04
91,98,2025-05-06,EMI,465.82
92,99,2024-11-20,Debit Card,17564.61
93,100,2025-12-07,Credit Card,397459.32
94,101,2025-11-18,Wallet,4521.36
95,102,2025-01-04,Cash,7717.43
96,103,2025-07-04,Credit Card,42671.07
97,105,2026-02-26,Credit Card,36501.03
98,106,2025-08-10,Gift Card,34783.22
99,107,2024-11-18,Buy Now Pay Later,1249.82
100,108,2024-09-15,EMI,18177.28
101,109,2024-11-07,UPI,119424.34
102,110,2025-01-23,UPI,28663.9
103,111,2025-12-16,Net Banking,736050.3
104,112,2025-06-24,Wallet,144035.53
105,113,2024-11-21,UPI,401679.51
106,114,2025-03-07,Cash,198973.05
107,115,2025-08-01,Wallet,9031.4
108,116,2024-07-05,Cash,22950.41
109,117,2025-08-18,Buy Now Pay Later,3834.93
110,118,2024-03-19,Cash,121514.43
111,119,2024-07-10,UPI,58530.96
112,120,2024-04-12,Buy Now Pay Later,22616.07
113,121,2025-06-01,Net Banking,17622.64
114,122,2024-12-18,EMI,2041.26
115,124,2025-08-27,Credit Card,953.07
116,125,2025-07-27,Gift Card,7450.08
117,126,2025-08-20,Gift Card,226335.88
118,128,2024-05-02,Credit Card,21646.43
119,129,2025-05-10,Gift Card,87627.97
120,130,2025-04-19,Wallet,43373.92
121,131,2025-02-07,Debit Card,60765.08
122,132,2025-07-01,Net Banking,145982.65
123,133,2025-10-18,Wallet,495068.97
124,134,2024-05-07,EMI,10745.74
