shipment_id,order_id,courier_name,shipped_date,delivered_date,status
1,3,Delhivery,2025-11-27,2025-11-30,Delivered
2,4,Delhivery,2026-02-21,2026-02-23,Delivered
3,5,BlueDart,2024-12-11,2024-12-15,Delivered
4,7,FedEx,2025-07-28,2025-08-03,Returned
5,8,Delhivery,2025-07-31,2025-08-02,Delivered
6,9,Delhivery,2024-06-07,2024-06-10,Returned
7,10,EcomExpress,2024-02-27,2024-03-01,Delivered
8,11,Delhivery,2025-07-07,2025-07-09,Delivered
9,13,BlueDart,2024-12-07,2024-12-12,Delivered
10,16,Delhivery,2024-02-18,2024-02-21,Delivered
11,18,FedEx,2025-02-08,2025-02-13,Delivered
12,19,FedEx,2025-03-02,2025-03-06,Delivered
13,20,BlueDart,2026-02-03,2026-02-06,Delivered
14,21,Delhivery,2025-07-28,2025-08-01,Delivered
15,22,FedEx,2026-02-17,2026-02-22,Delivered
16,24,Delhivery,2024-08-06,2024-08-09,Delivered
17,25,Delhivery,2025-02-13,2025-02-16,Delivered
18,26,Delhivery,2025-03-25,2025-03-28,Delivered
19,27,Delhivery,2024-06-07,2024-06-12,Delivered
20,28,EcomExpress,2025-03-30,2025-04-02,Delivered
21,29,BlueDart,2025-05-15,,Shipped
22,31,BlueDart,2025-12-22,2025-12-24,Delivered
23,32,Delhivery,2024-07-19,,Shipped
24,33,FedEx,2024-01-06,2024-01-11,Delivered
25,34,Delhivery,2024-05-20,2024-05-25,Delivered
26,35,FedEx,2025-08-24,,Shipped
27,36,Delhivery,2024-12-14,2024-12-19,Delivered
28,38,EcomExpress,2024-04-26,2024-05-01,Delivered
29,39,BlueDart,2026-01-28,2026-01-30,Delivered
30,41,BlueDart,2024-02-08,,Shipped
31,42,Delhivery,2026-02-12,2026-02-18,Delivered
32,43,Delhivery,2025-01-16,2025-01-21,Delivered
33,44,BlueDart,2024-08-22,2024-08-27,Delivered
34,45,FedEx,2025-03-13,,Shipped
35,46,Delhivery,2025-05-12,2025-05-17,Delivered
36,47,EcomExpress,2024-10-22,2024-10-26,Delivered
37,48,Delhivery,2025-11-21,2025-11-27,Delivered
38,51,BlueDart,2024-10-17,2024-10-23,Delivered
39,53,FedEx,2025-03-11,,Shipped
40,54,FedEx,2025-04-24,2025-04-30,Delivered
41,55,EcomExpress,2025-05-28,2025-06-01,Delivered
42,56,BlueDart,2024-03-22,,Shipped
43,57,BlueDart,2024-11-09,2024-11-11,Delivered
44,58,BlueDart,2024-01-09,2024-01-12,Delivered
45,59,Delhivery,2025-05-26,2025-05-28,Delivered
46,60,EcomExpress,2026-02-08,2026-02-10,Returned
47,62,FedEx,2024-11-26,2024-12-02,Delivered
48,63,EcomExpress,2025-01-14,2025-01-17,Delivered
49,64,BlueDart,2025-05-02,,Shipped
50,65,Delhivery,2025-09-23,2025-09-25,Delivered
51,66,EcomExpress,2025-12-24,2025-12-30,Delivered
52,67,FedEx,2024-07-09,2024-07-15,Returned
53,68,EcomExpress,2025-08-21,2025-08-27,Delivered
54,69,EcomExpress,2024-09-07,2024-09-10,Delivered
55,70,EcomExpress,2026-02-23,2026-02-26,Delivered
56,71,Delhivery,2025-02-10,2025-02-12,Delivered
57,72,EcomExpress,2024-10-28,2024-11-03,Delivered
58,73,BlueDart,2025-05-02,2025-05-04,Delivered
59,77,Delhivery,2025-03-25,2025-03-29,Delivered
60,78,EcomExpress,2025-12-13,2025-12-18,Delivered
61,79,BlueDart,2024-04-08,,Shipped
62,80,Delhivery,2025-10-29,2025-11-03,Delivered
63,81,BlueDart,2024-09-26,2024-10-02,Delivered
64,82,Delhivery,2024-02-21,2024-02-24,Delivered
65,83,FedEx,2025-11-28,2025-12-03,Delivered
66,84,FedEx,2024-09-30,2024-10-03,Delivered
67,86,BlueDart,2024-01-30,2024-02-02,Delivered
68,87,EcomExpress,2025-12-04,2025-12-06,Delivered
69,88,EcomExpress,2024-07-31,,Shipped
70,89,Delhivery,2025-08-28,2025-08-31,Delivered
71,92,FedEx,2024-12-27,2025-01-01,Delivered
72,94,FedEx,2025-02-16,,Shipped
73,96,BlueDart,2025-01-05,,Shipped
74,97,Delhivery,2025-07-20,2025-07-23,Delivered
75,98,Delhivery,2025-05-09,2025-05-11,Delivered
76,101,Delhivery,2025-11-21,2025-11-24,Delivered
77,104,FedEx,2025-04-14,2025-04-20,Delivered
78,105,Delhivery,2026-03-01,2026-03-06,Delivered
79,106,Delhivery,2025-08-11,2025-08-15,Delivered
80,107,Delhivery,2024-11-21,2024-11-27,Delivered
81,111,Delhivery,2025-12-18,2025-12-24,Delivered
82,112,EcomExpress,2025-06-27,2025-06-29,Delivered
83,113,Delhivery,2024-11-24,2024-11-27,Delivered
84,114,Delhivery,2025-03-08,2025-03-12,Delivered
85,117,Delhivery,2025-08-21,2025-08-24,Delivered
86,119,BlueDart,2024-07-13,,Shipped
87,120,Delhivery,2024-04-14,2024-04-20,Delivered
88,121,BlueDart,2025-06-03,2025-06-08,Delivered
89,123,Delhivery,2025-01-04,2025-01-10,Delivered
90,124,BlueDart,2025-08-30,2025-09-05,Delivered
91,125,BlueDart,2025-07-30,2025-08-01,Delivered
92,126,Delhivery,2025-08-23,2025-08-25,Returned
93,127,EcomExpress,2024-08-28,2024-08-30,Returned
94,128,Delhivery,2024-05-04,2024-05-10,Delivered
95,129,FedEx,2025-05-13,2025-05-18,Delivered
96,131,FedEx,2025-02-08,2025-02-12,Delivered
97,132,FedEx,2025-07-03,2025-07-09,Delivered
98,133,FedEx,2025-10-19,2025-10-23,Delivered
99,137,EcomExpress,2026-02-14,2026-02-17,Returned
100,139,BlueDart,2025-10-14,2025-10-20,Delivered
101,140,EcomExpress,2024-03-23,2024-03-28,Delivered
102,141,BlueDart,2024-05-04,2024-05-09,Delivered
103,144,EcomExpress,2026-03-01,2026-03-05,Delivered
104,145,Delhivery,2024-05-20,2024-05-23,Delivered
105,147,Delhivery,2024-09-05,,Shipped
106,148,BlueDart,2026-01-05,2026-01-07,Delivered
107,149,Delhivery,2024-02-10,2024-02-15,Delivered
108,151,BlueDart,2024-11-22,2024-11-26,Delivered
109,152,Delhivery,2025-08-11,2025-08-17,Delivered
110,154,Delhivery,2025-05-04,,Shipped
111,155,FedEx,2024-04-22,2024-04-25,Delivered
112,156,FedEx,2024-12-12,2024-12-15,Delivered
113,158,EcomExpress,2025-10-22,,Shipped
114,159,FedEx,2025-02-16,2025-02-19,Delivered
115,160,FedEx,2024-05-28,2024-06-02,Delivered
116,161,Delhivery,2024-01-11,2024-01-17,Delivered
117,162,EcomExpress,2025-02-24,,Shipped
118,163,EcomExpress,2025-04-12,2025-04-18,Delivered
119,164,BlueDart,2025-07-14,2025-07-16,Delivered
120,165,Delhivery,2025-11-03,,Shipped
121,167,BlueDart,2024-04-21,2024-04-24,Delivered
122,168,FedEx,2024-06-24,2024-06-27,Delivered
123,169,Delhivery,2025-10-14,2025-10-20,Delivered
124,170,EcomExpress,2025-05-15,2025-05-21,Delivered
125,171,EcomExpress,2025-06-07,2025-06-13,Returned
126,173,Delhivery,2024-08-18,2024-08-21,Delivered
127,175,BlueDart,2026-02-24,,Shipped
128,176,Delhivery,2025-06-26,2025-07-01,Delivered
129,179,EcomExpress,2024-06-17,2024-06-19,Delivered
130,180,EcomExpress,2024-03-03,2024-03-06,Delivered
131,181,FedEx,2025-06-02,,Shipped
132,184,EcomExpress,2025-03-16,2025-03-21,Delivered
133,185,BlueDart,2024-06-12,2024-06-15,Delivered
134,186,FedEx,2024-04-20,2024-04-26,Delivered
135,187,EcomExpress,2024-09-30,2024-10-04,Delivered
136,189,EcomExpress,2024-04-12,,Shipped
137,191,BlueDart,2026-01-27,2026-01-30,Delivered
