event_id,view_id,event_type,element_id,event_timestamp
1,13068,click,form_login,2025-07-12 09:56:01.169530
2,103619,scroll,form_login,2025-11-20 04:08:41.126044
3,467268,hover,input_search,2025-07-30 09:48:41.956120
4,384957,click,nav_menu,2026-02-20 20:20:06.400332
5,355345,scroll,btn_add_to_cart,2025-06-14 03:10:13.245214
6,272626,hover,nav_menu,2025-04-22 04:33:49.515023
7,192409,hover,btn_add_to_cart,2026-02-16 16:45:41.298723
8,6367,click,link_details,2025-09-20 02:54:15.286489
9,351612,click,btn_add_to_cart,2025-11-08 14:23:01.782117
10,409063,submit,input_search,2025-07-25 00:10:06.027579
11,86948,submit,btn_add_to_cart,2025-04-30 16:29:34.338825
12,151089,click,btn_add_to_cart,2026-01-28 22:35:28.217801
13,497494,hover,input_search,2026-02-17 07:33:21.699500
14,57551,click,link_details,2025-07-30 13:54:45.062768
15,127171,scroll,img_hero,2025-12-28 12:16:18.026668
16,54653,hover,nav_menu,2025-11-15 14:11:40.234764
17,467089,hover,btn_add_to_cart,2026-01-26 15:50:17.933407
18,50347,click,nav_menu,2025-06-07 12:56:12.839183
19,105821,submit,link_details,2025-04-19 04:57:33.313572
20,128341,submit,form_login,2025-07-08 13:10:56.258942
21,98129,scroll,nav_menu,2025-10-27 02:34:57.404150
22,143560,click,form_login,2025-12-02 18:51:40.803915
23,308909,submit,btn_add_to_cart,2026-01-18 03:16:14.021607
24,485708,hover,nav_menu,2026-01-12 10:24:48.959031
25,71319,submit,input_search,2025-03-20 00:12:58.334334
26,455667,click,img_hero,2025-08-30 14:47:06.748267
27,257122,submit,form_login,2026-02-11 14:55:38.365995
28,317878,hover,link_details,2025-09-18 05:31:12.138304
29,67863,scroll,btn_add_to_cart,2025-04-19 20:11:35.026677
30,419894,scroll,link_details,2025-10-02 04:31:39.148252
31,215668,hover,btn_add_to_cart,2026-02-07 12:03:58.518591
32,262246,click,img_hero,2026-02-03 20:38:38.781009
33,184088,submit,img_hero,2025-04-19 16:35:01.508354
34,320145,submit,nav_menu,2025-07-24 20:13:45.276742
35,399347,submit,btn_add_to_cart,2025-04-05 22:13:24.161242
36,220134,scroll,input_search,2025-12-16 07:41:23.155645
37,113400,submit,img_hero,2026-01-09 20:14:16.351421
38,103135,scroll,input_search,2025-07-06 16:58:14.030092
39,294660,click,link_details,2025-09-04 20:17:56.424947
40,219933,click,btn_add_to_cart,2026-01-03 22:42:24.571431
41,159104,click,link_details,2025-03-02 00:38:07.334281
42,52565,submit,form_login,2025-06-15 12:07:48.313219
43,132333,hover,img_hero,2026-01-28 02:01:42.536611
44,348837,submit,form_login,2025-10-04 22:37:34.260640
45,291194,submit,btn_add_to_cart,2025-10-10 06:45:16.124341
46,382947,submit,nav_menu,2025-09-19 01:25:44.679041
47,404411,scroll,input_search,2025-04-25 14:46:14.101648
48,154424,submit,nav_menu,2025-10-05 23:58:05.674082
49,166177,click,btn_add_to_cart,2025-12-14 06:40:29.683443
50,292437,click,input_search,2025-09-15 19:11:56.022590
51,146258,scroll,btn_add_to_cart,2026-02-19 18:36:12.340782
52,157299,hover,btn_add_to_cart,2026-01-22 07:49:41.815278
53,98098,scroll,input_search,2025-10-26 13:02:24.789406
54,214254,scroll,btn_add_to_cart,2026-01-16 07:49:17.199643
55,38001,hover,input_search,2025-05-26 06:54:11.973264
56,191207,scroll,img_hero,2026-01-13 16:49:06.020189
57,277781,submit,nav_menu,2025-03-30 14:05:27.717001
58,83405,click,btn_add_to_cart,2025-10-01 09:12:11.712275
59,25065,scroll,nav_menu,2026-02-08 05:38:14.185516
60,315099,hover,img_hero,2025-10-02 00:23:51.792051
61,38411,hover,img_hero,2026-02-04 05:31:45.809869
62,85816,submit,input_search,2025-05-08 01:41:01.895021
63,484451,scroll,form_login,2025-10-04 10:34:14.862780
64,71472,submit,nav_menu,2026-01-29 10:10:48.246662
65,128341,submit,link_details,2025-06-28 17:21:56.194085
66,264298,submit,form_login,2025-04-26 01:05:58.454724
67,391362,scroll,img_hero,2025-05-25 05:57:57.007745
68,272522,scroll,img_hero,2026-02-21 20:28:19.863646
69,90875,click,img_hero,2025-12-01 16:05:35.026888
70,228812,click,form_login,2025-11-10 14:54:06.985291
71,448098,hover,img_hero,2025-07-30 10:31:38.652400
72,232729,click,nav_menu,2025-10-14 20:48:58.484429
73,458469,submit,img_hero,2025-11-13 03:33:57.687120
74,319385,scroll,img_hero,2025-05-17 04:08:38.405349
75,402081,hover,btn_add_to_cart,2025-03-14 13:24:39.213696
76,125026,click,link_details,2025-09-03 04:26:22.475046
77,219507,submit,link_details,2025-10-17 11:02:48.483222
78,151338,click,link_details,2025-08-13 03:57:26.441745
79,288538,hover,input_search,2025-10-13 19:25:21.247160
80,3506,click,img_hero,2025-06-07 14:18:17.915454
81,436541,submit,link_details,2025-09-25 00:23:44.343208
82,118376,click,img_hero,2025-08-17 08:59:41.850644
83,438079,scroll,form_login,2026-02-08 09:57:02.000225
84,267719,click,nav_menu,2026-01-24 07:25:26.470365
85,355910,hover,link_details,2025-04-08 08:59:49.506736
86,373839,click,link_details,2025-05-29 13:59:04.152910
87,242979,click,link_details,2025-07-14 06:50:13.646582
88,118914,scroll,nav_menu,2025-12-23 08:40:15.500115
89,229840,submit,input_search,2025-12-30 18:14:20.855274
90,25946,scroll,form_login,2025-10-01 01:52:05.375468
91,87364,submit,input_search,2026-01-08 12:36:37.794896
92,481135,click,btn_add_to_cart,2025-09-10 08:00:33.676773
93,30642,hover,link_details,2025-05-29 03:16:29.550369
94,316012,scroll,img_hero,2025-12-12 05:29:01.992728
95,412699,hover,img_hero,2025-11-01 19:31:17.117420
96,167780,hover,link_details,2026-02-16 14:15:16.156851
97,112807,submit,img_hero,2026-02-15 22:54:41.787159
98,373537,click,nav_menu,2025-08-26 16:44:47.722505
99,271045,submit,link_details,2025-04-28 10:18:09.704458
100,5341,submit,input_search,2025-12-20 11:47:02.948578
101,186187,hover,link_details,2025-04-04 12:45:29.202788
102,360602,click,nav_menu,2025-09-27 06:14:48.266261
103,497313,submit,nav_menu,2025-04-22 11:02:01.526167
104,348711,submit,link_details,2025-06-12 19:45:26.694038
105,250259,hover,link_details,2025-05-01 12:12:11.218571
106,365533,scroll,link_details,2026-01-27 00:33:28.355861
107,285942,scroll,nav_menu,2025-10-23 23:17:14.002745
108,415713,scroll,img_hero,2025-06-04 17:41:25.314746
109,381218,scroll,input_search,2025-09-10 03:36:42.907997
110,245580,click,input_search,2025-11-10 23:07:22.573763
111,405987,scroll,btn_add_to_cart,2025-08-13 17:39:19.232429
112,385021,click,form_login,2025-12-06 11:16:33.879829
113,59951,submit,img_hero,2025-11-10 11:46:35.416532
114,393565,submit,input_search,2025-03-22 07:27:45.932817
115,350218,scroll,input_search,2025-09-13 14:21:38.995314
116,33770,hover,input_search,2025-08-28 17:07:28.301490
117,475966,scroll,nav_menu,2026-01-22 14:27:09.180946
118,384394,scroll,input_search,2026-01-14 21:29:08.326051
119,469935,hover,img_hero,2025-11-10 06:42:19.505821
120,488154,click,input_search,2025-06-06 23:25:05.442642
121,97241,click,form_login,2025-04-22 06:36:52.456338
122,154991,click,img_hero,2025-04-21 02:31:20.553132
123,98481,hover,img_hero,2026-01-11 04:36:16.770064
124,158163,click,input_search,2025-04-21 04:10:36.348073
125,384814,submit,form_login,2025-05-06 01:57:01.277423
126,389108,submit,img_hero,2026-01-30 16:25:29.468534
127,466191,scroll,img_hero,2025-07-05 14:27:19.176186
128,46809,hover,nav_menu,2026-02-08 06:26:06.340709
129,12096,hover,input_search,2025-11-06 13:47:59.482293
130,385098,hover,form_login,2025-10-23 09:27:50.730546
131,436977,submit,nav_menu,2025-08-20 16:48:19.087729
132,278591,submit,img_hero,2025-06-14 22:07:37.920391
133,7054,click,nav_menu,2025-08-01 22:32:40.095685
134,258777,hover,form_login,2026-01-10 10:06:39.203827
135,231058,click,img_hero,2025-09-29 17:01:30.040320
136,220747,click,nav_menu,2025-10-20 04:55:39.037305
137,432640,click,img_hero,2025-11-25 22:29:56.394126
138,164351,click,nav_menu,2025-08-03 00:13:17.294622
139,320824,hover,input_search,2025-10-16 11:56:44.937298
140,195442,scroll,link_details,2025-03-05 01:10:17.601586
141,293233,submit,nav_menu,2025-10-30 12:12:31.208596
142,473380,hover,input_search,2026-02-10 01:23:45.497402
143,197063,submit,link_details,2025-11-09 16:40:55.034771
144,333476,scroll,link_details,2025-09-01 07:01:16.953229
145,288385,scroll,form_login,2026-02-10 20:22:59.172864
146,243358,hover,img_hero,2025-04-15 18:03:56.002536
147,405281,submit,link_details,2025-09-03 14:03:20.934338
148,99461,click,form_login,2025-09-28 20:46:15.883403
149,198026,scroll,input_search,2025-11-15 16:20:58.226702
150,471323,click,form_login,2025-10-25 09:01:02.404945
151,356876,scroll,img_hero,2025-12-07 20:01:09.036159
152,65636,hover,img_hero,2025-09-01 02:07:09.645041
